id,nom_estab,latitud,longitud,per_ocu,nombre_act,precio,rating
997724,#FONDA ME VALE,19.36281096,-99.18888248,0 a 5 personas,Restaurantes con servicio de preparación de tacos y tortas,125,3.9
11770842,.DETOX,19.37626745,-99.09947984,0 a 5 personas,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",317,4.8
10377888,07 EL GUSTITO,19.48495294,-99.14869725,0 a 5 personas,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",195,3.2
7791638,1 LITRO,19.38794142,-99.05244606,0 a 5 personas,Servicios de preparación de otros alimentos para consumo inmediato,239,4.3
9796383,10 Y NUEVE CAFETERIA,19.46077636,-99.14697635,0 a 5 personas,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",55,3.4
10145275,100 FRUTAL JUGOS Y AGUAS,19.35244245,-99.16121129,0 a 5 personas,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",254,3.3
1014897,100 MONTADITOS,19.34954372,-99.16146372,11 a 30 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,400,3.9
6314435,1001 CHILIS INSURGENTES,19.39564175,-99.17198408,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,299,4.6
6308492,1007 CHILIS LINDAVISTA,19.49402031,-99.13273177,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,394,4.4
6316225,1008 CHILIS SAN JERONIMO,19.33054757,-99.21263174,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,481,4.0
10068880,100NEY DRINKS,19.38953585,-99.18586858,0 a 5 personas,"Bares, cantinas y similares",393,4.8
6318835,1014 CHILIS GRAN SUR,19.30814512,-99.16407754,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,155,3.8
6309748,1015 CHILIS ANTARA,19.43859558,-99.2030366,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,316,3.8
6309749,1017 CHILIS PARQUE LINDAVISTA,19.48702257,-99.13133112,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,466,3.8
6232561,1021 CHILIS REFORMA 222,19.42903331,-99.16222755,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,70,4.0
6319242,1022 CHILIS ALAMEDA JUAREZ,19.43441186,-99.14292139,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,457,3.3
6309744,1024 CHILIS TEZONTLE,19.38199476,-99.08252976,31 a 50 personas,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,104,4.7
